Model_A,Model_B,F1_A_%,F1_B_%,Diff_%,t_stat,p_value,Sig_p005,Sig_Bonferroni,Winner
DAPT-MiniLM,TAPT-MiniLM,94.56,89.6,4.96,6.4446,0.002983,Yes,No,DAPT-MiniLM
DAPT-MiniLM,DAPT+TAPT-MiniLM,94.56,95.85,-1.29,-1.5136,0.204674,No,No,DAPT+TAPT-MiniLM
DAPT-MiniLM,MiniLM-base,94.56,80.1,14.46,1.5152,0.204306,No,No,DAPT-MiniLM
DAPT-MiniLM,SciBERT,94.56,88.85,5.71,2.0869,0.105202,No,No,DAPT-MiniLM
DAPT-MiniLM,ClimateBERT,94.56,94.46,0.1,0.0496,0.962819,No,No,DAPT-MiniLM
DAPT-MiniLM,DistilBERT,94.56,91.96,2.6,1.6388,0.176592,No,No,DAPT-MiniLM
DAPT-MiniLM,RoBERTa,94.56,96.64,-2.08,-1.176,0.304802,No,No,RoBERTa
TAPT-MiniLM,DAPT+TAPT-MiniLM,89.6,95.85,-6.25,-7.694,0.001535,Yes,Yes,DAPT+TAPT-MiniLM
TAPT-MiniLM,MiniLM-base,89.6,80.1,9.5,0.9907,0.377913,No,No,TAPT-MiniLM
TAPT-MiniLM,SciBERT,89.6,88.85,0.75,0.2713,0.799588,No,No,TAPT-MiniLM
TAPT-MiniLM,ClimateBERT,89.6,94.46,-4.86,-2.2532,0.08734,No,No,ClimateBERT
TAPT-MiniLM,DistilBERT,89.6,91.96,-2.36,-1.5125,0.204954,No,No,DistilBERT
TAPT-MiniLM,RoBERTa,89.6,96.64,-7.04,-5.3795,0.005771,Yes,No,RoBERTa
DAPT+TAPT-MiniLM,MiniLM-base,95.85,80.1,15.75,1.696,0.165123,No,No,DAPT+TAPT-MiniLM
DAPT+TAPT-MiniLM,SciBERT,95.85,88.85,7.0,2.0616,0.108254,No,No,DAPT+TAPT-MiniLM
DAPT+TAPT-MiniLM,ClimateBERT,95.85,94.46,1.39,0.7691,0.484717,No,No,DAPT+TAPT-MiniLM
DAPT+TAPT-MiniLM,DistilBERT,95.85,91.96,3.89,1.9937,0.11695,No,No,DAPT+TAPT-MiniLM
DAPT+TAPT-MiniLM,RoBERTa,95.85,96.64,-0.79,-0.4045,0.70657,No,No,RoBERTa
MiniLM-base,SciBERT,80.1,88.85,-8.75,-0.8477,0.444356,No,No,SciBERT
MiniLM-base,ClimateBERT,80.1,94.46,-14.36,-1.345,0.24983,No,No,ClimateBERT
MiniLM-base,DistilBERT,80.1,91.96,-11.86,-1.0711,0.344449,No,No,DistilBERT
MiniLM-base,RoBERTa,80.1,96.64,-16.54,-1.5886,0.187353,No,No,RoBERTa
SciBERT,ClimateBERT,88.85,94.46,-5.61,-1.2324,0.285294,No,No,ClimateBERT
SciBERT,DistilBERT,88.85,91.96,-3.11,-1.0465,0.354398,No,No,DistilBERT
SciBERT,RoBERTa,88.85,96.64,-7.79,-2.6485,0.05707,No,No,RoBERTa
ClimateBERT,DistilBERT,94.46,91.96,2.5,1.3377,0.251974,No,No,ClimateBERT
ClimateBERT,RoBERTa,94.46,96.64,-2.18,-0.9066,0.415875,No,No,RoBERTa
DistilBERT,RoBERTa,91.96,96.64,-4.68,-3.3772,0.027856,Yes,No,RoBERTa
