Model_A,Model_B,F1_A_%,F1_B_%,Diff_%,t_stat,p_value,Sig_p005,Sig_Bonferroni,Winner
DAPT-MiniLM,TAPT-MiniLM,71.34,73.93,-2.59,-0.468,0.664159,No,No,TAPT-MiniLM
DAPT-MiniLM,DAPT+TAPT-MiniLM,71.34,79.24,-7.9,-1.5699,0.191525,No,No,DAPT+TAPT-MiniLM
DAPT-MiniLM,MiniLM-base,71.34,74.59,-3.25,-0.6031,0.578975,No,No,MiniLM-base
DAPT-MiniLM,SciBERT,71.34,76.39,-5.05,-1.0073,0.370785,No,No,SciBERT
DAPT-MiniLM,ClimateBERT,71.34,71.06,0.27,0.0368,0.97239,No,No,DAPT-MiniLM
DAPT-MiniLM,DistilBERT,71.34,79.79,-8.45,-1.3671,0.243389,No,No,DistilBERT
DAPT-MiniLM,RoBERTa,71.34,72.2,-0.86,-0.1792,0.866516,No,No,RoBERTa
TAPT-MiniLM,DAPT+TAPT-MiniLM,73.93,79.24,-5.31,-3.9439,0.016904,Yes,No,DAPT+TAPT-MiniLM
TAPT-MiniLM,MiniLM-base,73.93,74.59,-0.66,-0.4525,0.674347,No,No,MiniLM-base
TAPT-MiniLM,SciBERT,73.93,76.39,-2.46,-1.3011,0.263116,No,No,SciBERT
TAPT-MiniLM,ClimateBERT,73.93,71.06,2.87,0.815,0.460797,No,No,TAPT-MiniLM
TAPT-MiniLM,DistilBERT,73.93,79.79,-5.86,-5.9546,0.003992,Yes,No,DistilBERT
TAPT-MiniLM,RoBERTa,73.93,72.2,1.73,0.604,0.578397,No,No,TAPT-MiniLM
DAPT+TAPT-MiniLM,MiniLM-base,79.24,74.59,4.66,2.7871,0.049456,Yes,No,DAPT+TAPT-MiniLM
DAPT+TAPT-MiniLM,SciBERT,79.24,76.39,2.85,1.7306,0.158573,No,No,DAPT+TAPT-MiniLM
DAPT+TAPT-MiniLM,ClimateBERT,79.24,71.06,8.18,2.6037,0.059813,No,No,DAPT+TAPT-MiniLM
DAPT+TAPT-MiniLM,DistilBERT,79.24,79.79,-0.55,-0.3657,0.73313,No,No,DistilBERT
DAPT+TAPT-MiniLM,RoBERTa,79.24,72.2,7.04,2.6598,0.056401,No,No,DAPT+TAPT-MiniLM
MiniLM-base,SciBERT,74.59,76.39,-1.81,-0.6663,0.541695,No,No,SciBERT
MiniLM-base,ClimateBERT,74.59,71.06,3.52,1.0361,0.358689,No,No,MiniLM-base
MiniLM-base,DistilBERT,74.59,79.79,-5.2,-3.0954,0.036382,Yes,No,DistilBERT
MiniLM-base,RoBERTa,74.59,72.2,2.39,1.5375,0.198995,No,No,MiniLM-base
SciBERT,ClimateBERT,76.39,71.06,5.33,1.617,0.181188,No,No,SciBERT
SciBERT,DistilBERT,76.39,79.79,-3.4,-1.7804,0.149617,No,No,DistilBERT
SciBERT,RoBERTa,76.39,72.2,4.19,1.1129,0.328126,No,No,SciBERT
ClimateBERT,DistilBERT,71.06,79.79,-8.72,-3.3465,0.028662,Yes,No,DistilBERT
ClimateBERT,RoBERTa,71.06,72.2,-1.13,-0.2613,0.80676,No,No,RoBERTa
DistilBERT,RoBERTa,79.79,72.2,7.59,2.3846,0.075608,No,No,DistilBERT
