Model_A,Model_B,F1_A_%,F1_B_%,Diff_%,t_stat,p_value,Sig_p005,Sig_Bonferroni,Winner
DAPT-MiniLM,TAPT-MiniLM,67.97,66.96,1.01,0.6838,0.531687,No,No,DAPT-MiniLM
DAPT-MiniLM,DAPT+TAPT-MiniLM,67.97,69.69,-1.72,-1.0517,0.352277,No,No,DAPT+TAPT-MiniLM
DAPT-MiniLM,MiniLM-base,67.97,65.78,2.19,1.4309,0.225706,No,No,DAPT-MiniLM
DAPT-MiniLM,SciBERT,67.97,61.89,6.08,5.1129,0.00692,Yes,No,DAPT-MiniLM
DAPT-MiniLM,ClimateBERT,67.97,71.72,-3.74,-2.6181,0.058917,No,No,ClimateBERT
DAPT-MiniLM,DistilBERT,67.97,66.4,1.57,1.4665,0.216396,No,No,DAPT-MiniLM
DAPT-MiniLM,RoBERTa,67.97,71.82,-3.85,-3.2109,0.032562,Yes,No,RoBERTa
TAPT-MiniLM,DAPT+TAPT-MiniLM,66.96,69.69,-2.74,-1.3644,0.244157,No,No,DAPT+TAPT-MiniLM
TAPT-MiniLM,MiniLM-base,66.96,65.78,1.17,0.604,0.578437,No,No,TAPT-MiniLM
TAPT-MiniLM,SciBERT,66.96,61.89,5.06,2.1767,0.095098,No,No,TAPT-MiniLM
TAPT-MiniLM,ClimateBERT,66.96,71.72,-4.76,-2.1662,0.096216,No,No,ClimateBERT
TAPT-MiniLM,DistilBERT,66.96,66.4,0.56,0.5487,0.612394,No,No,TAPT-MiniLM
TAPT-MiniLM,RoBERTa,66.96,71.82,-4.87,-2.4703,0.068927,No,No,RoBERTa
DAPT+TAPT-MiniLM,MiniLM-base,69.69,65.78,3.91,2.8065,0.048491,Yes,No,DAPT+TAPT-MiniLM
DAPT+TAPT-MiniLM,SciBERT,69.69,61.89,7.8,5.1441,0.006772,Yes,No,DAPT+TAPT-MiniLM
DAPT+TAPT-MiniLM,ClimateBERT,69.69,71.72,-2.02,-1.0693,0.345176,No,No,ClimateBERT
DAPT+TAPT-MiniLM,DistilBERT,69.69,66.4,3.3,2.0387,0.111111,No,No,DAPT+TAPT-MiniLM
DAPT+TAPT-MiniLM,RoBERTa,69.69,71.82,-2.13,-2.1251,0.10076,No,No,RoBERTa
MiniLM-base,SciBERT,65.78,61.89,3.89,3.2627,0.031001,Yes,No,MiniLM-base
MiniLM-base,ClimateBERT,65.78,71.72,-5.93,-7.3218,0.001851,Yes,No,ClimateBERT
MiniLM-base,DistilBERT,65.78,66.4,-0.61,-0.6095,0.575143,No,No,DistilBERT
MiniLM-base,RoBERTa,65.78,71.82,-6.04,-3.5879,0.023004,Yes,No,RoBERTa
SciBERT,ClimateBERT,61.89,71.72,-9.82,-7.8282,0.001438,Yes,Yes,ClimateBERT
SciBERT,DistilBERT,61.89,66.4,-4.5,-2.833,0.047204,Yes,No,DistilBERT
SciBERT,RoBERTa,61.89,71.82,-9.93,-6.3539,0.003144,Yes,No,RoBERTa
ClimateBERT,DistilBERT,71.72,66.4,5.32,4.457,0.011186,Yes,No,ClimateBERT
ClimateBERT,RoBERTa,71.72,71.82,-0.11,-0.0616,0.953861,No,No,RoBERTa
DistilBERT,RoBERTa,66.4,71.82,-5.43,-3.4145,0.026916,Yes,No,RoBERTa
